1,Auvergne-Rhone-Alpes
2,Bourgogne-Franche-Comte
3,Bretagne
4,Centre-Val de Loire
5,Corse
6,Grand Est
7,Hauts-de-France
8,Ile-de-France
9,Normandie
10,Nouvelle-Aquitaine
11,Occitanie
12,Pays de la Loire
13,Provence-Alpes-Cote d'Azur
